Sensor,Pressao,Wavelet,Status_IA,Target,Status_Sistema
ESP_04,6.199245,-0.848,,0,NORMAL
ESP_01,6.061504,-0.7506,,0,NORMAL
ESP_04,6.191061,-0.8422,,0,NORMAL
ESP_01,6.057076,-0.7475,,0,NORMAL
ESP_04,6.182261,-0.836,,0,NORMAL
ESP_01,6.04763,-0.7408,,0,NORMAL
ESP_04,6.226564,-0.8673,,0,NORMAL
ESP_01,6.03966,-0.7352,,0,NORMAL
ESP_04,6.216845,-0.8604,,0,NORMAL
ESP_01,6.035822,-0.7324,,0,NORMAL
ESP_04,6.20825,-0.8544,,0,NORMAL
ESP_01,6.02982,-0.7282,,0,NORMAL
ESP_04,6.200064,-0.8486,,0,NORMAL
ESP_01,6.061996,-0.7509,,0,NORMAL
ESP_04,6.191163,-0.8423,,0,NORMAL
ESP_01,6.05678,-0.7473,,0,NORMAL
ESP_04,6.181545,-0.8355,,0,NORMAL
ESP_01,6.049696,-0.7422,,0,NORMAL
ESP_04,6.225542,-0.8666,,0,NORMAL
ESP_01,6.040841,-0.736,,0,NORMAL
ESP_04,6.218789,-0.8618,,0,NORMAL
ESP_01,6.035626,-0.7323,,0,NORMAL
ESP_04,6.211421,-0.8566,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.201087,-0.8493,,0,NORMAL
ESP_01,6.062488,-0.7513,,0,NORMAL
ESP_04,6.192083,-0.8429,,0,NORMAL
ESP_01,6.054222,-0.7454,,0,NORMAL
ESP_04,6.181442,-0.8354,,0,NORMAL
ESP_01,6.04822,-0.7412,,0,NORMAL
ESP_04,6.229533,-0.8694,,0,NORMAL
ESP_01,6.042907,-0.7374,,0,NORMAL
ESP_04,6.220732,-0.8632,,0,NORMAL
ESP_01,6.034249,-0.7313,,0,NORMAL
ESP_04,6.213263,-0.8579,,0,NORMAL
ESP_01,6.028934,-0.7276,,0,NORMAL
ESP_04,6.203645,-0.8511,,0,NORMAL
ESP_01,6.066325,-0.754,,0,NORMAL
ESP_04,6.193618,-0.844,,0,NORMAL
ESP_01,6.05865,-0.7486,,0,NORMAL
ESP_04,6.184614,-0.8376,,0,NORMAL
ESP_01,6.05196,-0.7438,,0,NORMAL
ESP_04,6.23076,-0.8703,,0,NORMAL
ESP_01,6.045761,-0.7395,,0,NORMAL
ESP_04,6.223188,-0.8649,,0,NORMAL
ESP_01,6.037397,-0.7336,,0,NORMAL
ESP_04,6.213571,-0.8581,,0,NORMAL
ESP_01,6.030313,-0.7285,,0,NORMAL
ESP_04,6.204771,-0.8519,,0,NORMAL
ESP_01,6.068981,-0.7559,,0,NORMAL
ESP_04,6.195255,-0.8452,,0,NORMAL
ESP_01,6.061602,-0.7507,,0,NORMAL
ESP_04,6.186967,-0.8393,,0,NORMAL
ESP_01,6.052845,-0.7445,,0,NORMAL
ESP_04,6.181749,-0.8356,,0,NORMAL
ESP_01,6.047138,-0.7404,,0,NORMAL
ESP_04,6.186661,-0.8391,,0,NORMAL
ESP_01,6.041234,-0.7363,,0,NORMAL
ESP_04,6.214389,-0.8587,,0,NORMAL
ESP_01,6.030706,-0.7288,,0,NORMAL
ESP_04,6.206306,-0.853,,0,NORMAL
ESP_01,6.067702,-0.755,,0,NORMAL
